sample_id,acetate,propionate,butyrate
C1,36.71188592,11.72488625,1.001140251
C2,128.0117761,62.60632546,23.05809105
C3,43.52294487,16.77741751,4.597426114
C4,154.2175122,92.91980559,24.78957872
C5,192.6577217,83.44954361,49.53608641
C6,2.331054254,0,0
C7,179.0492446,41.67192736,21.00374591
C8,408.8544309,137.5345912,97.15520171
C9,201.8897682,64.67474982,77.62998194
C10,64.24218882,8.816995489,19.18245859
C11,259.1319416,36.09552634,47.97840753
C12,18.80874382,3.120664433,1.942828838
C13,9.472733571,6.581979625,0.241754733
C14,25.25146581,14.05369803,6.413156258
C15,155.3127276,35.22113314,63.00998777
C16,279.5795727,59.43412208,35.95790388
C17,161.8838028,60.70682122,14.40098144
C18,68.90432887,17.60208987,8.110880566
C19,49.15568553,13.54329986,14.14905523
C20,156.672667,79.5537301,59.2038043
C21,5.749354527,2.916791085,0.876366285
C22,10.38942263,1.897493314,1.23682141
C24,24.30886279,12.32080051,4.327140771
C25,10.35155792,4.988869238,1.637333614
C26,450.477085,208.779664,136.138761
C27,25.16797361,2.617929453,0.894371759
C28,80.16178039,38.14138495,19.32274626
C29,34.20048765,2.045881685,2.97162075
C30,27.39468281,7.369700908,2.54655746
C31,31.62733085,11.11898232,4.266722782
C32,0.041114055,0,0
C33,45.12837634,12.38299353,2.221448991
C34,60.85938928,34.10887111,12.67156231
C35,5.567986946,2.721188329,0.137671449
C36,79.19038482,34.75526329,10.98891958
C37,50.92321994,4.022614345,7.320050036
C38,50.70936379,8.984789588,6.408761958
C39,11.8526598,3.881704693,3.337899635
C40,5.886190072,0.101842383,0.012140622
C41,143.7571871,32.97236006,0.184594863
